id,product_title,pack_size,product_price,rating_count
74,Gryphon Nymph of The Nile Tea,20 per pack,$20.95,(1)
75,Ahmad Fruitytea Selection Tea,120 g,$13.50,(0)
76,Basilur Tea Specialty Classics Gift Collection,60 per pack,$18.00,(1)
77,GardenScent Organic Nettle Leaf Tea,50 g,$12.80,(0)
78,Haepio Ssamjang Seasoned Bean Paste,170 g,$1.90,(1)
79,Nissin Cup Noodles Spicy Seafood Instant Noodles,75 g,$1.30,(33)
80,Nongshim Champong Spicy Squid Seafood Instant Noodles Cup,67 g,$2.05,(15)
81,Youki Dashi Powder,35 g,$4.50,(1)
82,Nongshim Chapagetti Black Instant Ramen Noodles 5s,700 g,$6.48,(11)
83,Nissin No.1 Dried Soba Noodles,200 g,$2.90,(0)
84,Want Want Senbei Rice Crackers,92 g,$2.05,(73)
85,Oreo Vanilla Cream Filled Chocolate Sandwich Cookies Multipack,9 × 29.4 g,$1.95,(61)
86,Pringles Sour Cream and Onion Potato Crisps Chips,147 g,$2.70,(43)
87,Nature's Wonders Baked USA Walnuts,200 g,$6.55,(34)
88,Kettle Honey Dijon Potato Chips,142 g,$3.96,(103)
89,Pringles Original Potato Crisps Chips,147 g,$2.70,(30)
90,Ben & Jerry's Non-Dairy Coffee Caramel Fudge Ice Cream,473 ml,$11.92,(0)
91,Ben & Jerry's Caramel Almond Brittle Dairy Free Ice Cream,473 ml,$11.92,(5)
92,Ben & Jerry's Coconut Seven Layer Bar Dairy Free Ice Cream,473 ml,$11.92,(15)
93,Ben & Jerry's Peanut Butter And Cookies Dairy Free Ice Cream,473 ml,$11.92,(14)
94,Ben & Jerry's Low-Calorie Peanut Butter Dough Ice Cream,458 ml,$11.92,(6)
95,Ben & Jerry's Low-Calorie Caramel Cookie Fix Ice Cream,458 ml,$11.92,(3)
96,Aveda Invati Scalp Revitalizer,150 ml,$90.20,(1)
97,Biofinest Castor Organic Oil - USA Imported - 100% Pure Organic Carrier Oil Oil,10 ml,$11.94,(2)
98,Daeng Gi Meo Ri Vitalizing Shampoo,500 ml,$38.80,(2)
99,Naturigin 2.0 Black Hair Colour Dye,115 ml,$29.05,(1)
100,Biofinest Dead Sea Mud Mask - With Shea Butter Aloe Vera Collagen Face Mask,250 g,$17.97,(0)
101,Alteya Organics Organic Bulgarian Rose Water,500 ml,$39.92,(2)
102,Kotex Slim Overnight Sanitary Pads 28Cm,20 per pack,$5.95,(16)
103,U by Kotex Feminine Care Applicator Tampons Super,16 per pack,$10.95,(5)
104,Huggies Silver Pants XXL,34 × 1 per pack,$14.95,(6)
105,Huggies Platinum Diapers L,54 per pack,$26.95,(3)
106,Kotex Air Super Ultrathin Wing Day Sanitary Pads 24 Cm,18 per pack,$5.95,(12)
107,Huggies Platinum Diapers Newborn 60s,60 per pack,$21.00,(1)
